frame,time,reaction_progress,separation,max_devi_f,selected,matched_region
187,1.87,0.013949,0.000560,0.02433849,0,
188,1.88,0.012164,0.000434,0.02217053,0,
189,1.89,0.010500,0.000430,0.02918665,0,
190,1.90,0.013705,0.000458,0.02601128,0,
191,1.91,0.020126,0.000800,0.02203084,0,
192,1.92,0.015439,0.000394,0.02153738,0,
193,1.93,0.013382,0.000551,0.02725570,0,
194,1.94,0.009910,0.000382,0.02905845,0,
195,1.95,0.008847,0.000333,0.02422247,0,
196,1.96,0.009489,0.000446,0.01905477,0,
197,1.97,0.010646,0.000422,0.02112767,0,
198,1.98,0.012131,0.000486,0.01898619,0,
199,1.99,0.012888,0.000368,0.01814649,0,
200,2.00,0.015249,0.000433,0.02211493,0,
